n,iter,mean
2.0,0.0,27.74799594259046
2.0,1.0,34.03340875459738
2.0,2.0,21.558273331464846
2.0,3.0,19.115455201082327
2.0,4.0,21.26232220833568
2.0,5.0,14.287063112201164
2.0,6.0,32.55785843738083
2.0,7.0,26.082604083816918
2.0,8.0,14.12245506232647
2.0,9.0,29.707981102162133
2.0,10.0,25.170347983308293
2.0,11.0,23.29457662671428
2.0,12.0,26.669302107947242
2.0,13.0,28.210372877050258
2.0,14.0,32.80342675126511
2.0,15.0,25.171051498205287
2.0,16.0,23.347389282039423
2.0,17.0,21.5681793289369
2.0,18.0,48.80805797697308
2.0,19.0,19.72695327983368
5.0,0.0,10.438608376515848
5.0,1.0,9.166555557431774
5.0,2.0,10.063585496977343
5.0,3.0,7.994351308175273
5.0,4.0,10.839724221994008
5.0,5.0,9.383566721067124
5.0,6.0,7.942987122107756
5.0,7.0,6.867252504553371
5.0,8.0,13.523740896260742
5.0,9.0,10.709081446059987
5.0,10.0,14.508331459003312
5.0,11.0,11.086594779311724
5.0,12.0,10.388032378902682
5.0,13.0,11.136109443932416
5.0,14.0,6.77221485117427
5.0,15.0,10.40715620237736
5.0,16.0,12.882193652031145
5.0,17.0,11.385354155843366
5.0,18.0,9.700880081443291
5.0,19.0,10.155598264452069
10.0,0.0,5.032968795399937
10.0,1.0,5.85451633505949
10.0,2.0,5.274230812041188
10.0,3.0,5.552598850682698
10.0,4.0,4.434096270031256
10.0,5.0,4.657645714436627
10.0,6.0,3.940831907286776
10.0,7.0,4.926179004812271
10.0,8.0,5.763853440559962
10.0,9.0,3.854020498182053
10.0,10.0,3.8596446241922866
10.0,11.0,4.637644228664148
10.0,12.0,5.755656696630081
10.0,13.0,3.502815157872145
10.0,14.0,4.791934555279551
10.0,15.0,4.580465484687563
10.0,16.0,4.884165895398126
10.0,17.0,5.331837372990187
10.0,18.0,5.592172654694306
10.0,19.0,4.996857162609426
15.0,0.0,3.5975293781173248
15.0,1.0,3.9210217768817794
15.0,2.0,3.808082395669277
15.0,3.0,3.082843866891442
15.0,4.0,3.881763454411355
15.0,5.0,3.4628753153247676
15.0,6.0,3.930980786239512
15.0,7.0,3.2863799392184365
15.0,8.0,3.166115812963162
15.0,9.0,3.281260607231773
15.0,10.0,3.1727692645806007
15.0,11.0,3.1428035261682137
15.0,12.0,3.363490759111838
15.0,13.0,3.0885906719323755
15.0,14.0,3.663506770686489
15.0,15.0,3.1086412262379244
15.0,16.0,3.622493719989738
15.0,17.0,3.3533199633275275
15.0,18.0,4.292130418807984
15.0,19.0,3.592953353588385
20.0,0.0,2.5802959665704743
20.0,1.0,2.7964244147233446
20.0,2.0,2.519317722410509
20.0,3.0,2.6168684714881074
20.0,4.0,2.334289694173984
20.0,5.0,2.7433664032449854
20.0,6.0,2.844508238748199
20.0,7.0,2.8046939701424827
20.0,8.0,2.3792151336856486
20.0,9.0,2.5956332837035574
20.0,10.0,2.9168062873909943
20.0,11.0,2.217416086568543
20.0,12.0,2.89557238182835
20.0,13.0,2.7406344171588275
20.0,14.0,2.5832458116054977
20.0,15.0,2.246298997469153
20.0,16.0,2.263415405180239
20.0,17.0,2.3622563848256473
20.0,18.0,2.8428499512850505
20.0,19.0,2.7640557545940796
25.0,0.0,1.8204688942706921
25.0,1.0,2.020665710905094
25.0,2.0,2.1341809866468213
25.0,3.0,1.900721841055038
25.0,4.0,2.1907008404442387
25.0,5.0,2.1346875565002983
25.0,6.0,2.0050419161054247
25.0,7.0,2.1537026691984784
25.0,8.0,1.9435566419269925
25.0,9.0,2.124916078933137
25.0,10.0,1.8897932388707326
25.0,11.0,2.145557238730528
25.0,12.0,2.4741400391161674
25.0,13.0,2.0270142684892907
25.0,14.0,2.1076595532589737
25.0,15.0,1.7527274840825728
25.0,16.0,2.0938534706642935
25.0,17.0,1.7511213820051892
25.0,18.0,2.090747218853776
25.0,19.0,1.5104326750945574
30.0,0.0,1.7120647188656202
30.0,1.0,1.7274519343634422
30.0,2.0,1.5799942304394514
30.0,3.0,1.849893932334011
30.0,4.0,1.6578238126999867
30.0,5.0,1.5304255056592815
30.0,6.0,1.5443468563317635
30.0,7.0,1.4483515682328112
30.0,8.0,1.6134715915754227
30.0,9.0,1.6792814847461681
30.0,10.0,1.799486278831305
30.0,11.0,1.7467390660713424
30.0,12.0,1.4890427231241583
30.0,13.0,1.6261691210113358
30.0,14.0,1.7373026993767686
30.0,15.0,1.892650781902278
30.0,16.0,1.45734257134319
30.0,17.0,1.562135754447561
30.0,18.0,1.5817224613416818
30.0,19.0,1.5432844260323262
35.0,0.0,1.861451487859677
35.0,1.0,1.6746065455698602
35.0,2.0,1.662596160691926
35.0,3.0,1.4228210440368594
35.0,4.0,1.459519613744332
35.0,5.0,1.5746708709906772
35.0,6.0,1.786405068560668
35.0,7.0,1.4543662488332156
35.0,8.0,1.495003754900728
35.0,9.0,1.4633005753120563
35.0,10.0,1.3871201166600624
35.0,11.0,1.389045606468639
35.0,12.0,1.387587268199387
35.0,13.0,1.5685112974774562
35.0,14.0,1.5216109325649954
35.0,15.0,1.4972593665353258
35.0,16.0,1.4647411248958
35.0,17.0,1.4792313150671375
35.0,18.0,1.5175432665695667
35.0,19.0,1.3089388926311993
40.0,0.0,1.1373595907425145
40.0,1.0,1.252719835072654
40.0,2.0,1.1946774574516377
40.0,3.0,1.399344691302377
40.0,4.0,1.1485713683937506
40.0,5.0,1.2341549249223585
40.0,6.0,1.4602608357324585
40.0,7.0,1.2116176900158724
40.0,8.0,1.3106282568170786
40.0,9.0,1.5112253844359034
40.0,10.0,1.156464213212627
40.0,11.0,1.4144755840543028
40.0,12.0,1.0134834747260366
40.0,13.0,1.265443762693631
40.0,14.0,1.1906799179419805
40.0,15.0,1.2005005160200575
40.0,16.0,1.360204754336734
40.0,17.0,1.2178461733863637
40.0,18.0,1.2273811195226638
40.0,19.0,1.319882093044282
50.0,0.0,1.0445765813226289
50.0,1.0,1.1040049399201544
50.0,2.0,0.8950980584118793
50.0,3.0,1.2163603935209841
50.0,4.0,0.9760215149627486
50.0,5.0,1.0623320859301166
50.0,6.0,0.993010945395619
50.0,7.0,1.0957206712449348
50.0,8.0,1.0939310929470576
50.0,9.0,1.128382845369638
50.0,10.0,1.0916808840744119
50.0,11.0,1.1111145391813935
50.0,12.0,1.0718820637797666
50.0,13.0,1.0446253318341245
50.0,14.0,0.9464951554593011
50.0,15.0,1.069658888182045
50.0,16.0,1.1267724569820945
50.0,17.0,1.0847585953431524
50.0,18.0,1.0580768324567928
50.0,19.0,1.052044492977889
